secs,cad,hr,km,kph,nm,watts,alt,lon,lat,headwind,slope,temp,interval,lrbalance,lte,rte,lps,rps,smo2,thb,o2hb,hhb
1,27,0,0,0,0,0,5.4,-0.24220600,51.48061400,0,0,23,0,-255,0,0,0,0,0,0,0,0
2,27,0,0,0,0,0,5.4,-0.24220600,51.48061400,0,0,23,0,-255,0,0,0,0,0,0,0,0
3,27,0,0,0,0,0,5.4,-0.24220600,51.48061400,0,0,23,0,-255,0,0,0,0,0,0,0,0
4,27,0,0,0,0,0,5.4,-0.24220600,51.48061400,0,0,23,0,-255,0,0,0,0,0,0,0,0
5,27,0,0,0,0,0,5.4,-0.24220600,51.48061400,0,0,23,0,-255,0,0,0,0,0,0,0,0
6,27,0,0,0,0,0,5.4,-0.24220600,51.48061400,0,0,23,0,-255,0,0,0,0,0,0,0,0
7,27,0,0,0,0,0,5.4,-0.24220600,51.48061400,0,0,23,0,-255,0,0,0,0,0,0,0,0
8,27,0,0,0,0,0,5.4,-0.24220600,51.48061400,0,0,23,0,-255,0,0,0,0,0,0,0,0
9,27,0,0,0,0,0,5.4,-0.24220600,51.48061400,0,0,23,0,-255,0,0,0,0,0,0,0,0
10,27,0,0,0,0,0,5.4,-0.24220600,51.48061400,0,0,23,0,-255,0,0,0,0,0,0,0,0
11,27,0,0,0,0,0,5.4,-0.24220600,51.48061400,0,0,23,0,-255,0,0,0,0,0,0,0,0
12,27,0,0,0,0,0,5.4,-0.24220600,51.48061400,0,0,23,0,-255,0,0,0,0,0,0,0,0
13,27,0,0,0,0,0,5.4,-0.24220600,51.48061400,0,0,23,0,-255,0,0,0,0,0,0,0,0
14,27,0,0,0,0,0,5.4,-0.24220600,51.48061400,0,0,23,0,-255,0,0,0,0,0,0,0,0
15,27,0,0,0,0,0,5.4,-0.24220600,51.48061400,0,0,23,0,-255,0,0,0,0,0,0,0,0
16,27,0,0,0,0,0,5.4,-0.24220600,51.48061400,0,0,23,0,-255,0,0,0,0,0,0,0,0
17,27,0,0,0,0,0,5.4,-0.24220600,51.48061400,0,0,23,0,-255,0,0,0,0,0,0,0,0
18,27,0,0,0,0,0,5.4,-0.24220600,51.48061400,0,0,23,0,-255,0,0,0,0,0,0,0,0
19,27,0,0,0,0,0,5.4,-0.24220600,51.48061400,0,0,23,0,-255,0,0,0,0,0,0,0,0
20,27,0,0,0,0,0,5.4,-0.24220600,51.48061400,0,0,23,0,-255,0,0,0,0,0,0,0,0
